"DISTRITO","UNIDADE","TRIMESTRE","TIPO","VALOR"
"Continente","CS ABRAÃO","2013 Q4","PERCENTUAL_FALTAS_ODONTO",15.6626506024096
"Centro","CS AGRONÔMICA","2013 Q4","PERCENTUAL_FALTAS_ODONTO",17.930029154519
"Sul","CS ALTO RIBEIRÃO","2013 Q4","PERCENTUAL_FALTAS_ODONTO",35.1111111111111
"Sul","CS ARMAÇÃO","2013 Q4","PERCENTUAL_FALTAS_ODONTO",18.8679245283019
"Continente","CS BALNEÁRIO","2013 Q4","PERCENTUAL_FALTAS_ODONTO",5.58659217877095
"Norte","CS BARRA DA LAGOA","2013 Q4","PERCENTUAL_FALTAS_ODONTO",7.79944289693593
"Norte","CS CACHOEIRA BOM JESUS","2013 Q4","PERCENTUAL_FALTAS_ODONTO",31.9648093841642
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q4","PERCENTUAL_FALTAS_ODONTO",22.6190476190476
"Sul","CS CAMPECHE","2013 Q4","PERCENTUAL_FALTAS_ODONTO",17.2839506172839
"Norte","CS CANASVIEIRAS","2013 Q4","PERCENTUAL_FALTAS_ODONTO",21.3921901528014
"Sul","CS CANTO DA LAGOA","2013 Q4","PERCENTUAL_FALTAS_ODONTO",11.3821138211382
"Continente","CS CAPOEIRAS","2013 Q4","PERCENTUAL_FALTAS_ODONTO",23.4624145785877
"Sul","CS CARIANOS","2013 Q4","PERCENTUAL_FALTAS_ODONTO",19.8181818181818
"Centro","CS CENTRO","2013 Q4","PERCENTUAL_FALTAS_ODONTO",28.525641025641
"Continente","CS COLONINHA","2013 Q4","PERCENTUAL_FALTAS_ODONTO",13.5135135135135
"Continente","CS COQUEIROS","2013 Q4","PERCENTUAL_FALTAS_ODONTO",14.4901610017889
"Centro","CS CÓRREGO GRANDE","2013 Q4","PERCENTUAL_FALTAS_ODONTO",10.5839416058394
"Sul","CS COSTA DA LAGOA","2013 Q4","PERCENTUAL_FALTAS_ODONTO",15.4471544715447
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q4","PERCENTUAL_FALTAS_ODONTO",23.8188976377953
"Continente","CS ESTREITO","2013 Q4","PERCENTUAL_FALTAS_ODONTO",12.882096069869
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q4","PERCENTUAL_FALTAS_ODONTO",16.1172161172161
"Norte","CS INGLESES","2013 Q4","PERCENTUAL_FALTAS_ODONTO",20.6225680933852
"Centro","CS ITACORUBI","2013 Q4","PERCENTUAL_FALTAS_ODONTO",15.1639344262295
"Continente","CS JARDIM ATLÂNTICO","2013 Q4","PERCENTUAL_FALTAS_ODONTO",15.3439153439153
"Centro","CS JOÃO PAULO","2013 Q4","PERCENTUAL_FALTAS_ODONTO",10.3746397694525
"Norte","CS JURERE","2013 Q4","PERCENTUAL_FALTAS_ODONTO",10.1626016260163
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q4","PERCENTUAL_FALTAS_ODONTO",9.95024875621891
"Continente","CS MONTE CRISTO","2013 Q4","PERCENTUAL_FALTAS_ODONTO",11.4975845410628
"Centro","CS MONTE SERRAT","2013 Q4","PERCENTUAL_FALTAS_ODONTO",31.6205533596838
"Sul","CS MORRO DAS PEDRAS","2013 Q4","PERCENTUAL_FALTAS_ODONTO",17.8571428571429
"Continente","CS NOVO CONTINENTE","2013 Q4","PERCENTUAL_FALTAS_ODONTO",15.4791154791155
"Centro","CS PANTANAL","2013 Q4","PERCENTUAL_FALTAS_ODONTO",19.5035460992908
"Sul","CS PANTANO DO SUL","2013 Q4","PERCENTUAL_FALTAS_ODONTO",13.0630630630631
"Norte","CS PONTA DAS CANAS","2013 Q4","PERCENTUAL_FALTAS_ODONTO",22.8136882129278
"Centro","CS PRAINHA","2013 Q4","PERCENTUAL_FALTAS_ODONTO",29.4326241134752
"Norte","CS RATONES","2013 Q4","PERCENTUAL_FALTAS_ODONTO",21.8446601941748
"Sul","CS RIBEIRÃO DA ILHA","2013 Q4","PERCENTUAL_FALTAS_ODONTO",15.6565656565657
"Sul","CS RIO TAVARES","2013 Q4","PERCENTUAL_FALTAS_ODONTO",6.95970695970696
"Norte","CS RIO VERMELHO","2013 Q4","PERCENTUAL_FALTAS_ODONTO",21.4695752009185
"Centro","CS SACO DOS LIMÕES","2013 Q4","PERCENTUAL_FALTAS_ODONTO",20.8333333333333
"Norte","CS SACO GRANDE","2013 Q4","PERCENTUAL_FALTAS_ODONTO",11.6883116883117
"Norte","CS SANTINHO","2013 Q4","PERCENTUAL_FALTAS_ODONTO",20.7650273224044
"Norte","CS SANTO ANTONIO LISBOA","2013 Q4","PERCENTUAL_FALTAS_ODONTO",20.8333333333333
"Continente","CS SAPE","2013 Q4","PERCENTUAL_FALTAS_ODONTO",11.1111111111111
"Sul","CS TAPERA","2013 Q4","PERCENTUAL_FALTAS_ODONTO",11.9718309859155
"Centro","CS TRINDADE","2013 Q4","PERCENTUAL_FALTAS_ODONTO",14.3884892086331
"Norte","CS VARGEM GRANDE","2013 Q4","PERCENTUAL_FALTAS_ODONTO",33.3333333333333
"Norte","CS VARGEM PEQUENA","2013 Q4","PERCENTUAL_FALTAS_ODONTO",14.8936170212766
"Continente","CS VILA APARECIDA","2013 Q4","PERCENTUAL_FALTAS_ODONTO",11.6666666666667
"Continente","CS ABRAÃO","2014 Q1","PERCENTUAL_FALTAS_ODONTO",16.412213740458
"Centro","CS AGRONÔMICA","2014 Q1","PERCENTUAL_FALTAS_ODONTO",14.0515222482436
"Sul","CS ALTO RIBEIRÃO","2014 Q1","PERCENTUAL_FALTAS_ODONTO",24.8826291079812
"Sul","CS ARMAÇÃO","2014 Q1","PERCENTUAL_FALTAS_ODONTO",12.1654501216545
"Continente","CS BALNEÁRIO","2014 Q1","PERCENTUAL_FALTAS_ODONTO",13.1707317073171
"Norte","CS BARRA DA LAGOA","2014 Q1","PERCENTUAL_FALTAS_ODONTO",8.12720848056537
"Norte","CS CACHOEIRA BOM JESUS","2014 Q1","PERCENTUAL_FALTAS_ODONTO",31.8181818181818
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q1","PERCENTUAL_FALTAS_ODONTO",18.6915887850467
"Sul","CS CAMPECHE","2014 Q1","PERCENTUAL_FALTAS_ODONTO",14.5214521452145
"Norte","CS CANASVIEIRAS","2014 Q1","PERCENTUAL_FALTAS_ODONTO",26.9449715370019
"Sul","CS CANTO DA LAGOA","2014 Q1","PERCENTUAL_FALTAS_ODONTO",8.75912408759124
"Continente","CS CAPOEIRAS","2014 Q1","PERCENTUAL_FALTAS_ODONTO",15.7754010695187
"Sul","CS CARIANOS","2014 Q1","PERCENTUAL_FALTAS_ODONTO",17.6954732510288
