"DISTRITO","UNIDADE","AREA","ANO","MES","COD_PROCEDIMENTO","QUANTIDADE"
"Centro","CS MONTE SERRAT",0,2018,4,"0214010058",1
"Centro","CS MONTE SERRAT",0,2018,4,"0214010074",1
"Centro","CS MONTE SERRAT",0,2018,4,"0214010082",1
"Centro","CS MONTE SERRAT",0,2018,5,"0214010082",1
"Centro","CS MONTE SERRAT",0,2018,4,"0214010090",2
"Centro","CS MONTE SERRAT",0,2018,4,"0214010104",2
"Centro","CS MONTE SERRAT",1,2018,7,"0214010058",1
"Centro","CS MONTE SERRAT",1,2018,7,"0214010074",1
"Centro","CS MONTE SERRAT",1,2018,7,"0214010090",1
"Centro","CS MONTE SERRAT",1,2018,7,"0214010104",1
"Centro","CS MONTE SERRAT",2,2018,5,"0214010040",1
"Centro","CS MONTE SERRAT",2,2018,4,"0214010058",2
"Centro","CS MONTE SERRAT",2,2018,5,"0214010058",2
"Centro","CS MONTE SERRAT",2,2018,7,"0214010058",1
"Centro","CS MONTE SERRAT",2,2018,4,"0214010074",2
"Centro","CS MONTE SERRAT",2,2018,5,"0214010074",3
"Centro","CS MONTE SERRAT",2,2018,7,"0214010074",1
"Centro","CS MONTE SERRAT",2,2018,4,"0214010090",1
"Centro","CS MONTE SERRAT",2,2018,5,"0214010090",2
"Centro","CS MONTE SERRAT",2,2018,7,"0214010090",1
"Centro","CS MONTE SERRAT",2,2018,4,"0214010104",1
"Centro","CS MONTE SERRAT",2,2018,5,"0214010104",2
"Centro","CS MONTE SERRAT",2,2018,7,"0214010104",1
"Centro","CS PANTANAL",0,2018,5,"0214010058",7
"Centro","CS PANTANAL",0,2018,6,"0214010058",8
"Centro","CS PANTANAL",0,2018,7,"0214010058",6
"Centro","CS PANTANAL",0,2018,5,"0214010074",9
"Centro","CS PANTANAL",0,2018,6,"0214010074",8
"Centro","CS PANTANAL",0,2018,7,"0214010074",6
"Centro","CS PANTANAL",0,2018,5,"0214010090",6
"Centro","CS PANTANAL",0,2018,6,"0214010090",8
"Centro","CS PANTANAL",0,2018,7,"0214010090",4
"Centro","CS PANTANAL",0,2018,5,"0214010104",6
"Centro","CS PANTANAL",0,2018,6,"0214010104",8
"Centro","CS PANTANAL",0,2018,7,"0214010104",4
"Centro","CS PANTANAL",1,2018,7,"0214010040",1
"Centro","CS PANTANAL",1,2018,5,"0214010058",3
"Centro","CS PANTANAL",1,2018,6,"0214010058",1
"Centro","CS PANTANAL",1,2018,7,"0214010058",2
"Centro","CS PANTANAL",1,2018,5,"0214010074",3
"Centro","CS PANTANAL",1,2018,6,"0214010074",1
"Centro","CS PANTANAL",1,2018,7,"0214010074",2
"Centro","CS PANTANAL",1,2018,7,"0214010082",1
"Centro","CS PANTANAL",1,2018,5,"0214010090",3
"Centro","CS PANTANAL",1,2018,6,"0214010090",1
"Centro","CS PANTANAL",1,2018,7,"0214010090",2
"Centro","CS PANTANAL",1,2018,5,"0214010104",3
"Centro","CS PANTANAL",1,2018,6,"0214010104",1
"Centro","CS PANTANAL",1,2018,7,"0214010104",3
"Centro","CS PRAINHA",0,2018,6,"0214010040",1
"Centro","CS PRAINHA",0,2018,4,"0214010058",1
"Centro","CS PRAINHA",0,2018,6,"0214010058",2
"Centro","CS PRAINHA",0,2018,7,"0214010058",1
"Centro","CS PRAINHA",0,2018,4,"0214010074",2
"Centro","CS PRAINHA",0,2018,5,"0214010074",1
"Centro","CS PRAINHA",0,2018,6,"0214010074",2
"Centro","CS PRAINHA",0,2018,7,"0214010074",1
"Centro","CS PRAINHA",0,2018,6,"0214010082",1
"Centro","CS PRAINHA",0,2018,4,"0214010090",1
"Centro","CS PRAINHA",0,2018,6,"0214010090",2
"Centro","CS PRAINHA",0,2018,7,"0214010090",1
"Centro","CS PRAINHA",0,2018,4,"0214010104",1
"Centro","CS PRAINHA",0,2018,6,"0214010104",3
"Centro","CS PRAINHA",0,2018,7,"0214010104",1
"Centro","CS PRAINHA",1,2018,5,"0214010058",1
"Centro","CS PRAINHA",1,2018,7,"0214010058",2
"Centro","CS PRAINHA",1,2018,7,"0214010074",2
"Centro","CS PRAINHA",1,2018,7,"0214010090",2
"Centro","CS PRAINHA",1,2018,5,"0214010104",1
"Centro","CS PRAINHA",1,2018,7,"0214010104",2
"Centro","CS PRAINHA",2,2018,4,"0214010040",2
"Centro","CS PRAINHA",2,2018,5,"0214010040",1
"Centro","CS PRAINHA",2,2018,6,"0214010040",1
"Centro","CS PRAINHA",2,2018,7,"0214010040",1
"Centro","CS PRAINHA",2,2018,4,"0214010058",2
"Centro","CS PRAINHA",2,2018,5,"0214010058",1
"Centro","CS PRAINHA",2,2018,6,"0214010058",4
"Centro","CS PRAINHA",2,2018,7,"0214010058",4
"Centro","CS PRAINHA",2,2018,4,"0214010074",1
"Centro","CS PRAINHA",2,2018,5,"0214010074",1
"Centro","CS PRAINHA",2,2018,6,"0214010074",1
"Centro","CS PRAINHA",2,2018,7,"0214010074",4
"Centro","CS PRAINHA",2,2018,4,"0214010082",2
"Centro","CS PRAINHA",2,2018,5,"0214010082",2
"Centro","CS PRAINHA",2,2018,6,"0214010082",1
"Centro","CS PRAINHA",2,2018,7,"0214010082",1
"Centro","CS PRAINHA",2,2018,4,"0214010090",4
"Centro","CS PRAINHA",2,2018,5,"0214010090",2
"Centro","CS PRAINHA",2,2018,6,"0214010090",2
"Centro","CS PRAINHA",2,2018,7,"0214010090",5
"Centro","CS PRAINHA",2,2018,4,"0214010104",4
"Centro","CS PRAINHA",2,2018,5,"0214010104",2
"Centro","CS PRAINHA",2,2018,6,"0214010104",3
"Centro","CS PRAINHA",2,2018,7,"0214010104",5
"Centro","CS SACO DOS LIMÕES",0,2018,4,"0214010058",1
"Centro","CS SACO DOS LIMÕES",0,2018,5,"0214010058",2
"Centro","CS SACO DOS LIMÕES",0,2018,6,"0214010058",1
"Centro","CS SACO DOS LIMÕES",0,2018,7,"0214010058",3
"Centro","CS SACO DOS LIMÕES",0,2018,5,"0214010074",3
"Centro","CS SACO DOS LIMÕES",0,2018,6,"0214010074",1
"Centro","CS SACO DOS LIMÕES",0,2018,7,"0214010074",3
"Centro","CS SACO DOS LIMÕES",0,2018,5,"0214010090",2
"Centro","CS SACO DOS LIMÕES",0,2018,6,"0214010090",1
"Centro","CS SACO DOS LIMÕES",0,2018,7,"0214010090",3
"Centro","CS SACO DOS LIMÕES",0,2018,4,"0214010104",1
"Centro","CS SACO DOS LIMÕES",0,2018,5,"0214010104",2
"Centro","CS SACO DOS LIMÕES",0,2018,6,"0214010104",1
"Centro","CS SACO DOS LIMÕES",0,2018,7,"0214010104",4
"Centro","CS SACO DOS LIMÕES",1,2018,7,"0214010040",1
"Centro","CS SACO DOS LIMÕES",1,2018,4,"0214010058",2
"Centro","CS SACO DOS LIMÕES",1,2018,6,"0214010058",1
"Centro","CS SACO DOS LIMÕES",1,2018,7,"0214010058",3
"Centro","CS SACO DOS LIMÕES",1,2018,4,"0214010074",2
"Centro","CS SACO DOS LIMÕES",1,2018,6,"0214010074",1
"Centro","CS SACO DOS LIMÕES",1,2018,7,"0214010074",4
