"DISTRITO","UNIDADE","TRIMESTRE","TIPO","VALOR"
"Continente","CS ABRAÃO","2014 Q4","PORCENT_ESP_ODO",54.48
"Centro","CS AGRONÔMICA","2014 Q4","PORCENT_ESP_ODO",76.27
"Sul","CS ALTO RIBEIRÃO","2014 Q4","PORCENT_ESP_ODO",60.07
"Sul","CS ARMAÇÃO","2014 Q4","PORCENT_ESP_ODO",50.62
"Continente","CS BALNEÁRIO","2014 Q4","PORCENT_ESP_ODO",60.79
"Norte","CS BARRA DA LAGOA","2014 Q4","PORCENT_ESP_ODO",58.44
"Norte","CS CACHOEIRA BOM JESUS","2014 Q4","PORCENT_ESP_ODO",66.67
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q4","PORCENT_ESP_ODO",63.64
"Sul","CS CAMPECHE","2014 Q4","PORCENT_ESP_ODO",55.83
"Norte","CS CANASVIEIRAS","2014 Q4","PORCENT_ESP_ODO",47.84
"Sul","CS CANTO DA LAGOA","2014 Q4","PORCENT_ESP_ODO",57.45
"Continente","CS CAPOEIRAS","2014 Q4","PORCENT_ESP_ODO",69.97
"Sul","CS CARIANOS","2014 Q4","PORCENT_ESP_ODO",42.75
"Centro","CS CENTRO","2014 Q4","PORCENT_ESP_ODO",55.36
"Continente","CS COLONINHA","2014 Q4","PORCENT_ESP_ODO",61.82
"Continente","CS COQUEIROS","2014 Q4","PORCENT_ESP_ODO",57.51
"Centro","CS CÓRREGO GRANDE","2014 Q4","PORCENT_ESP_ODO",73.33
"Sul","CS COSTA DA LAGOA","2014 Q4","PORCENT_ESP_ODO",80.82
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q4","PORCENT_ESP_ODO",48.89
"Continente","CS ESTREITO","2014 Q4","PORCENT_ESP_ODO",53.51
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q4","PORCENT_ESP_ODO",59.6
"Norte","CS INGLESES","2014 Q4","PORCENT_ESP_ODO",53.72
"Centro","CS ITACORUBI","2014 Q4","PORCENT_ESP_ODO",71.22
"Continente","CS JARDIM ATLÂNTICO","2014 Q4","PORCENT_ESP_ODO",35.58
"Centro","CS JOÃO PAULO","2014 Q4","PORCENT_ESP_ODO",47.41
"Norte","CS JURERE","2014 Q4","PORCENT_ESP_ODO",68.75
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q4","PORCENT_ESP_ODO",67.32
"Continente","CS MONTE CRISTO","2014 Q4","PORCENT_ESP_ODO",65.81
"Centro","CS MONTE SERRAT","2014 Q4","PORCENT_ESP_ODO",54.55
"Sul","CS MORRO DAS PEDRAS","2014 Q4","PORCENT_ESP_ODO",86.29
"Continente","CS NOVO CONTINENTE","2014 Q4","PORCENT_ESP_ODO",66.01
"Centro","CS PANTANAL","2014 Q4","PORCENT_ESP_ODO",58.53
"Sul","CS PANTANO DO SUL","2014 Q4","PORCENT_ESP_ODO",72.17
"Norte","CS PONTA DAS CANAS","2014 Q4","PORCENT_ESP_ODO",44.99
"Centro","CS PRAINHA","2014 Q4","PORCENT_ESP_ODO",60.07
"Norte","CS RATONES","2014 Q4","PORCENT_ESP_ODO",33.06
"Sul","CS RIBEIRÃO DA ILHA","2014 Q4","PORCENT_ESP_ODO",68.75
"Sul","CS RIO TAVARES","2014 Q4","PORCENT_ESP_ODO",52.04
"Norte","CS RIO VERMELHO","2014 Q4","PORCENT_ESP_ODO",68.7
"Centro","CS SACO DOS LIMÕES","2014 Q4","PORCENT_ESP_ODO",80.36
"Norte","CS SACO GRANDE","2014 Q4","PORCENT_ESP_ODO",64.56
"Norte","CS SANTINHO","2014 Q4","PORCENT_ESP_ODO",57.7
"Norte","CS SANTO ANTONIO LISBOA","2014 Q4","PORCENT_ESP_ODO",59
"Continente","CS SAPE","2014 Q4","PORCENT_ESP_ODO",48.99
"Sul","CS TAPERA","2014 Q4","PORCENT_ESP_ODO",59.31
