"DISTRITO","UNIDADE","AREA","TRIMESTRE","VALOR"
"Sul","CS FAZENDA DO RIO TAVARES",780,"2013 Q1",287
"Sul","CS FAZENDA DO RIO TAVARES",781,"2013 Q1",341
"Continente","CS ESTREITO",80,"2013 Q1",9
"Continente","CS ESTREITO",81,"2013 Q1",16
"Continente","CS ESTREITO",82,"2013 Q1",13
"Continente","CS ESTREITO",83,"2013 Q1",13
"Centro","CS TRINDADE",850,"2013 Q1",56
"Centro","CS TRINDADE",851,"2013 Q1",51
"Centro","CS TRINDADE",852,"2013 Q1",28
"Centro","CS TRINDADE",853,"2013 Q1",61
"Centro","CS TRINDADE",854,"2013 Q1",48
"Continente","CS VILA APARECIDA",90,"2013 Q1",13
"Continente","CS VILA APARECIDA",91,"2013 Q1",14
"Centro","CS CENTRO",950,"2013 Q1",76
"Centro","CS CENTRO",951,"2013 Q1",37
"Centro","CS CENTRO",952,"2013 Q1",46
"Norte","CS SANTINHO",980,"2013 Q1",134
"Norte","CS SANTINHO",981,"2013 Q1",236
"Continente","CS JARDIM ATLÂNTICO",10,"2013 Q2",17
"Continente","CS NOVO CONTINENTE",100,"2013 Q2",10
"Continente","CS NOVO CONTINENTE",101,"2013 Q2",16
"Continente","CS NOVO CONTINENTE",102,"2013 Q2",7
"Continente","CS NOVO CONTINENTE",103,"2013 Q2",13
"Continente","CS JARDIM ATLÂNTICO",11,"2013 Q2",6
"Centro","CS MONTE SERRAT",120,"2013 Q2",38
"Centro","CS MONTE SERRAT",121,"2013 Q2",16
"Centro","CS MONTE SERRAT",122,"2013 Q2",42
"Centro","CS PRAINHA",130,"2013 Q2",66
"Centro","CS PRAINHA",131,"2013 Q2",68
"Centro","CS PRAINHA",132,"2013 Q2",91
"Centro","CS PANTANAL",160,"2013 Q2",40
"Centro","CS PANTANAL",161,"2013 Q2",29
"Centro","CS CÓRREGO GRANDE",170,"2013 Q2",29
"Centro","CS CÓRREGO GRANDE",171,"2013 Q2",16
"Centro","CS CÓRREGO GRANDE",172,"2013 Q2",15
"Centro","CS ITACORUBI",190,"2013 Q2",40
"Centro","CS ITACORUBI",191,"2013 Q2",41
"Centro","CS ITACORUBI",192,"2013 Q2",41
"Centro","CS ITACORUBI",193,"2013 Q2",25
"Continente","CS BALNEÁRIO",20,"2013 Q2",7
"Sul","CS CAIEIRA BARRA DO SUL",200,"2013 Q2",74
"Continente","CS BALNEÁRIO",21,"2013 Q2",4
"Sul","CS ALTO RIBEIRÃO",210,"2013 Q2",301
"Sul","CS RIBEIRÃO DA ILHA",220,"2013 Q2",93
"Sul","CS PANTANO DO SUL",230,"2013 Q2",132
"Sul","CS ARMAÇÃO",240,"2013 Q2",121
"Sul","CS ARMAÇÃO",241,"2013 Q2",110
"Sul","CS ARMAÇÃO",242,"2013 Q2",24
"Sul","CS MORRO DAS PEDRAS",250,"2013 Q2",199
"Sul","CS MORRO DAS PEDRAS",251,"2013 Q2",255
"Sul","CS TAPERA",260,"2013 Q2",115
"Sul","CS TAPERA",261,"2013 Q2",144
"Sul","CS TAPERA",262,"2013 Q2",170
"Sul","CS TAPERA",263,"2013 Q2",168
"Sul","CS CARIANOS",270,"2013 Q2",113
"Sul","CS CARIANOS",271,"2013 Q2",118
"Sul","CS CARIANOS",272,"2013 Q2",14
"Sul","CS CAMPECHE",280,"2013 Q2",326
"Sul","CS CAMPECHE",281,"2013 Q2",233
"Sul","CS RIO TAVARES",290,"2013 Q2",151
"Sul","CS RIO TAVARES",291,"2013 Q2",99
"Sul","CS RIO TAVARES",292,"2013 Q2",57
"Sul","CS RIO TAVARES",293,"2013 Q2",27
"Continente","CS SAPE",30,"2013 Q2",15
