"DISTRITO","UNIDADE","TRIMESTRE","VALOR"
"Sul","CS ARMAÇÃO","2014 Q2",247
"Continente","CS BALNEÁRIO","2014 Q2",15
"Norte","CS BARRA DA LAGOA","2014 Q2",133
"Norte","CS CACHOEIRA BOM JESUS","2014 Q2",466
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q2",74
"Sul","CS CAMPECHE","2014 Q2",483
"Norte","CS CANASVIEIRAS","2014 Q2",1419
"Sul","CS CANTO DA LAGOA","2014 Q2",57
"Continente","CS CAPOEIRAS","2014 Q2",28
"Sul","CS CARIANOS","2014 Q2",208
"Centro","CS CENTRO","2014 Q2",146
"Continente","CS COLONINHA","2014 Q2",30
"Continente","CS COQUEIROS","2014 Q2",41
"Centro","CS CÓRREGO GRANDE","2014 Q2",66
"Sul","CS COSTA DA LAGOA","2014 Q2",15
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q2",500
"Continente","CS ESTREITO","2014 Q2",26
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q2",520
"Norte","CS INGLESES","2014 Q2",1569
"Centro","CS ITACORUBI","2014 Q2",114
"Continente","CS JARDIM ATLÂNTICO","2014 Q2",21
"Centro","CS JOÃO PAULO","2014 Q2",38
"Norte","CS JURERE","2014 Q2",208
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q2",142
"Continente","CS MONTE CRISTO","2014 Q2",58
"Centro","CS MONTE SERRAT","2014 Q2",99
"Sul","CS MORRO DAS PEDRAS","2014 Q2",420
"Continente","CS NOVO CONTINENTE","2014 Q2",46
"Centro","CS PANTANAL","2014 Q2",94
"Sul","CS PANTANO DO SUL","2014 Q2",124
"Norte","CS PONTA DAS CANAS","2014 Q2",331
"Centro","CS PRAINHA","2014 Q2",190
"Norte","CS RATONES","2014 Q2",192
"Sul","CS RIBEIRÃO DA ILHA","2014 Q2",116
"Sul","CS RIO TAVARES","2014 Q2",305
"Norte","CS RIO VERMELHO","2014 Q2",938
"Centro","CS SACO DOS LIMÕES","2014 Q2",321
"Norte","CS SACO GRANDE","2014 Q2",209
"Norte","CS SANTINHO","2014 Q2",477
"Norte","CS SANTO ANTONIO LISBOA","2014 Q2",158
"Continente","CS SAPE","2014 Q2",21
"Sul","CS TAPERA","2014 Q2",456
"Centro","CS TRINDADE","2014 Q2",233
"Norte","CS VARGEM GRANDE","2014 Q2",298
"Norte","CS VARGEM PEQUENA","2014 Q2",137
"Continente","CS VILA APARECIDA","2014 Q2",17
"Continente","CS ABRAÃO","2014 Q3",45
"Centro","CS AGRONÔMICA","2014 Q3",215
"Sul","CS ALTO RIBEIRÃO","2014 Q3",296
"Sul","CS ARMAÇÃO","2014 Q3",273
