"DISTRITO","UNIDADE","TRIMESTRE","TIPO","VALOR"
"Continente","CS JARDIM ATLÂNTICO","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",2.58
"Centro","CS JOÃO PAULO","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",0.29
"Norte","CS JURERE","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",1.63
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",5.5
"Continente","CS MONTE CRISTO","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",2.72
"Centro","CS MONTE SERRAT","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",7.94
"Sul","CS MORRO DAS PEDRAS","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",4.76
"Continente","CS NOVO CONTINENTE","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",2.9
"Centro","CS PANTANAL","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",6.74
"Sul","CS PANTANO DO SUL","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",2.25
"Norte","CS PONTA DAS CANAS","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",3.82
"Centro","CS PRAINHA","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",1.6
"Norte","CS RATONES","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",3.43
"Sul","CS RIBEIRÃO DA ILHA","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",12.63
"Sul","CS RIO TAVARES","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",3.65
"Norte","CS RIO VERMELHO","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",3.46
"Centro","CS SACO DOS LIMÕES","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",2.86
"Norte","CS SACO GRANDE","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",4.98
"Norte","CS SANTINHO","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",9.89
"Norte","CS SANTO ANTONIO LISBOA","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",2.34
"Continente","CS SAPE","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",6.54
"Sul","CS TAPERA","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",3.84
"Centro","CS TRINDADE","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",3.89
"Norte","CS VARGEM GRANDE","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",7.14
"Norte","CS VARGEM PEQUENA","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",7.09
"Continente","CS VILA APARECIDA","2013 Q4","PORCENT_ENCAMINHAMENTOS_ODO",2.21
"Continente","CS ABRAÃO","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",2.67
"Centro","CS AGRONÔMICA","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",7.84
"Sul","CS ALTO RIBEIRÃO","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",4.69
"Sul","CS ARMAÇÃO","2014 Q1","PORCENT_ENCAMINHAMENTOS_ODO",4.31
