"DISTRITO","TRIMESTRE","TIPO","VALOR"
"Sul","2015 Q1","CONSULTA_ODO",4038
"Centro","2015 Q2","CONSULTA_ODO",3768
"Continente","2015 Q2","CONSULTA_ODO",4372
"Norte","2015 Q2","CONSULTA_ODO",5307
"Sul","2015 Q2","CONSULTA_ODO",4544
"Centro","2015 Q3","CONSULTA_ODO",5158
"Continente","2015 Q3","CONSULTA_ODO",5758
"Norte","2015 Q3","CONSULTA_ODO",7222
"Sul","2015 Q3","CONSULTA_ODO",5657
"Centro","2015 Q4","CONSULTA_ODO",4247
"Continente","2015 Q4","CONSULTA_ODO",4679
"Norte","2015 Q4","CONSULTA_ODO",6027
"Sul","2015 Q4","CONSULTA_ODO",4261
"Centro","2016 Q1","CONSULTA_ODO",4483
"Continente","2016 Q1","CONSULTA_ODO",4433
"Norte","2016 Q1","CONSULTA_ODO",4775
"Sul","2016 Q1","CONSULTA_ODO",4031
"Centro","2016 Q2","CONSULTA_ODO",4996
"Continente","2016 Q2","CONSULTA_ODO",6076
"Norte","2016 Q2","CONSULTA_ODO",6710
"Sul","2016 Q2","CONSULTA_ODO",4955
"Centro","2016 Q3","CONSULTA_ODO",5608
"Continente","2016 Q3","CONSULTA_ODO",5739
"Norte","2016 Q3","CONSULTA_ODO",6561
"Sul","2016 Q3","CONSULTA_ODO",5826
"Centro","2016 Q4","CONSULTA_ODO",4762
"Continente","2016 Q4","CONSULTA_ODO",4965
"Norte","2016 Q4","CONSULTA_ODO",5825
"Sul","2016 Q4","CONSULTA_ODO",4516
"Centro","2017 Q1","CONSULTA_ODO",2928
"Continente","2017 Q1","CONSULTA_ODO",2707
"Norte","2017 Q1","CONSULTA_ODO",4091
"Sul","2017 Q1","CONSULTA_ODO",2520
"Centro","2017 Q2","CONSULTA_ODO",5210
"Continente","2017 Q2","CONSULTA_ODO",6304
"Norte","2017 Q2","CONSULTA_ODO",7057
"Sul","2017 Q2","CONSULTA_ODO",4787
"Centro","2017 Q3","CONSULTA_ODO",5758
"Continente","2017 Q3","CONSULTA_ODO",6544
"Norte","2017 Q3","CONSULTA_ODO",8112
"Sul","2017 Q3","CONSULTA_ODO",5832
"Centro","2017 Q4","CONSULTA_ODO",4591
"Continente","2017 Q4","CONSULTA_ODO",5347
"Norte","2017 Q4","CONSULTA_ODO",7244
"Sul","2017 Q4","CONSULTA_ODO",4625
"Centro","2018 Q1","CONSULTA_ODO",4580
"Continente","2018 Q1","CONSULTA_ODO",5289
"Norte","2018 Q1","CONSULTA_ODO",6563
"Sul","2018 Q1","CONSULTA_ODO",4721
"Centro","2013 Q1","ENCS_MED",2170
"Continente","2013 Q1","ENCS_MED",2010
"Norte","2013 Q1","ENCS_MED",2609
"Sul","2013 Q1","ENCS_MED",2078
"Centro","2013 Q2","ENCS_MED",2316
"Continente","2013 Q2","ENCS_MED",1938
"Norte","2013 Q2","ENCS_MED",3131
"Sul","2013 Q2","ENCS_MED",2448
"Centro","2013 Q3","ENCS_MED",2174
"Continente","2013 Q3","ENCS_MED",2126
"Norte","2013 Q3","ENCS_MED",3148
"Sul","2013 Q3","ENCS_MED",2534
"Centro","2013 Q4","ENCS_MED",2074
"Continente","2013 Q4","ENCS_MED",1820
"Norte","2013 Q4","ENCS_MED",2747
"Sul","2013 Q4","ENCS_MED",2378
"Centro","2014 Q1","ENCS_MED",2363
"Continente","2014 Q1","ENCS_MED",1919
"Norte","2014 Q1","ENCS_MED",3321
"Sul","2014 Q1","ENCS_MED",2592
"Centro","2014 Q2","ENCS_MED",2538
"Continente","2014 Q2","ENCS_MED",1979
"Norte","2014 Q2","ENCS_MED",3319
"Sul","2014 Q2","ENCS_MED",2630
"Centro","2014 Q3","ENCS_MED",2634
"Continente","2014 Q3","ENCS_MED",2308
"Norte","2014 Q3","ENCS_MED",3608
"Sul","2014 Q3","ENCS_MED",2899
"Centro","2014 Q4","ENCS_MED",2231
"Continente","2014 Q4","ENCS_MED",2001
"Norte","2014 Q4","ENCS_MED",2906
"Sul","2014 Q4","ENCS_MED",2486
"Centro","2015 Q1","ENCS_MED",2454
"Continente","2015 Q1","ENCS_MED",1671
"Norte","2015 Q1","ENCS_MED",3213
"Sul","2015 Q1","ENCS_MED",2285
"Centro","2015 Q2","ENCS_MED",2118
"Continente","2015 Q2","ENCS_MED",1945
"Norte","2015 Q2","ENCS_MED",2908
"Sul","2015 Q2","ENCS_MED",2258
"Centro","2015 Q3","ENCS_MED",2608
"Continente","2015 Q3","ENCS_MED",2344
"Norte","2015 Q3","ENCS_MED",3731
"Sul","2015 Q3","ENCS_MED",2647
"Centro","2015 Q4","ENCS_MED",1975
"Continente","2015 Q4","ENCS_MED",1968
"Norte","2015 Q4","ENCS_MED",2837
"Sul","2015 Q4","ENCS_MED",2113
"Centro","2016 Q1","ENCS_MED",2233
"Continente","2016 Q1","ENCS_MED",1891
"Norte","2016 Q1","ENCS_MED",3201
"Sul","2016 Q1","ENCS_MED",2266
"Centro","2016 Q2","ENCS_MED",2238
"Continente","2016 Q2","ENCS_MED",2119
"Norte","2016 Q2","ENCS_MED",3653
"Sul","2016 Q2","ENCS_MED",2614
"Centro","2016 Q3","ENCS_MED",2143
"Continente","2016 Q3","ENCS_MED",1855
"Norte","2016 Q3","ENCS_MED",3454
"Sul","2016 Q3","ENCS_MED",2184
"Centro","2016 Q4","ENCS_MED",1893
"Continente","2016 Q4","ENCS_MED",1835
"Norte","2016 Q4","ENCS_MED",3011
"Sul","2016 Q4","ENCS_MED",1790
"Centro","2017 Q1","ENCS_MED",1294
"Continente","2017 Q1","ENCS_MED",1221
"Norte","2017 Q1","ENCS_MED",1859
"Sul","2017 Q1","ENCS_MED",1240
"Centro","2017 Q2","ENCS_MED",1894
"Continente","2017 Q2","ENCS_MED",1794
"Norte","2017 Q2","ENCS_MED",3265
"Sul","2017 Q2","ENCS_MED",2219
"Centro","2017 Q3","ENCS_MED",2198
"Continente","2017 Q3","ENCS_MED",2059
"Norte","2017 Q3","ENCS_MED",4082
"Sul","2017 Q3","ENCS_MED",2407
"Centro","2017 Q4","ENCS_MED",2023
"Continente","2017 Q4","ENCS_MED",1993
"Norte","2017 Q4","ENCS_MED",3417
"Sul","2017 Q4","ENCS_MED",2350
"Centro","2018 Q1","ENCS_MED",2288
"Continente","2018 Q1","ENCS_MED",2210
"Norte","2018 Q1","ENCS_MED",3175
"Sul","2018 Q1","ENCS_MED",2185
"Centro","2013 Q1","ENCS_ODO",178
"Continente","2013 Q1","ENCS_ODO",141
"Norte","2013 Q1","ENCS_ODO",289
"Sul","2013 Q1","ENCS_ODO",139
"Centro","2013 Q2","ENCS_ODO",200
"Continente","2013 Q2","ENCS_ODO",118
"Norte","2013 Q2","ENCS_ODO",343
"Sul","2013 Q2","ENCS_ODO",191
"Centro","2013 Q3","ENCS_ODO",226
"Continente","2013 Q3","ENCS_ODO",228
"Norte","2013 Q3","ENCS_ODO",327
"Sul","2013 Q3","ENCS_ODO",237
"Centro","2013 Q4","ENCS_ODO",183
"Continente","2013 Q4","ENCS_ODO",132
"Norte","2013 Q4","ENCS_ODO",235
"Sul","2013 Q4","ENCS_ODO",164
"Centro","2014 Q1","ENCS_ODO",183
"Continente","2014 Q1","ENCS_ODO",121
"Norte","2014 Q1","ENCS_ODO",212
"Sul","2014 Q1","ENCS_ODO",167
"Centro","2014 Q2","ENCS_ODO",176
"Continente","2014 Q2","ENCS_ODO",133
"Norte","2014 Q2","ENCS_ODO",193
"Sul","2014 Q2","ENCS_ODO",160
"Centro","2014 Q3","ENCS_ODO",187
"Continente","2014 Q3","ENCS_ODO",240
"Norte","2014 Q3","ENCS_ODO",281
"Sul","2014 Q3","ENCS_ODO",172
"Centro","2014 Q4","ENCS_ODO",171
"Continente","2014 Q4","ENCS_ODO",203
"Norte","2014 Q4","ENCS_ODO",205
"Sul","2014 Q4","ENCS_ODO",182
"Centro","2015 Q1","ENCS_ODO",191
"Continente","2015 Q1","ENCS_ODO",147
"Norte","2015 Q1","ENCS_ODO",192
"Sul","2015 Q1","ENCS_ODO",142
"Centro","2015 Q2","ENCS_ODO",147
"Continente","2015 Q2","ENCS_ODO",101
"Norte","2015 Q2","ENCS_ODO",173
"Sul","2015 Q2","ENCS_ODO",178
"Centro","2015 Q3","ENCS_ODO",285
"Continente","2015 Q3","ENCS_ODO",208
"Norte","2015 Q3","ENCS_ODO",292
"Sul","2015 Q3","ENCS_ODO",251
"Centro","2015 Q4","ENCS_ODO",189
"Continente","2015 Q4","ENCS_ODO",161
"Norte","2015 Q4","ENCS_ODO",223
"Sul","2015 Q4","ENCS_ODO",187
"Centro","2016 Q1","ENCS_ODO",161
"Continente","2016 Q1","ENCS_ODO",184
"Norte","2016 Q1","ENCS_ODO",200
"Sul","2016 Q1","ENCS_ODO",159
"Centro","2016 Q2","ENCS_ODO",210
"Continente","2016 Q2","ENCS_ODO",184
"Norte","2016 Q2","ENCS_ODO",220
"Sul","2016 Q2","ENCS_ODO",204
"Centro","2016 Q3","ENCS_ODO",217
"Continente","2016 Q3","ENCS_ODO",280
"Norte","2016 Q3","ENCS_ODO",282
"Sul","2016 Q3","ENCS_ODO",298
"Centro","2016 Q4","ENCS_ODO",208
"Continente","2016 Q4","ENCS_ODO",281
"Norte","2016 Q4","ENCS_ODO",245
"Sul","2016 Q4","ENCS_ODO",227
"Centro","2017 Q1","ENCS_ODO",121
"Continente","2017 Q1","ENCS_ODO",120
"Norte","2017 Q1","ENCS_ODO",172
"Sul","2017 Q1","ENCS_ODO",127
"Centro","2017 Q2","ENCS_ODO",274
"Continente","2017 Q2","ENCS_ODO",301
"Norte","2017 Q2","ENCS_ODO",337
"Sul","2017 Q2","ENCS_ODO",175
"Centro","2017 Q3","ENCS_ODO",327
"Continente","2017 Q3","ENCS_ODO",266
"Norte","2017 Q3","ENCS_ODO",416
"Sul","2017 Q3","ENCS_ODO",265
"Centro","2017 Q4","ENCS_ODO",280
"Continente","2017 Q4","ENCS_ODO",267
