"DISTRITO","UNIDADE","TRIMESTRE","VALOR"
"Sul","CS PANTANO DO SUL","2013 Q3",47
"Norte","CS PONTA DAS CANAS","2013 Q3",53
"Centro","CS PRAINHA","2013 Q3",95
"Norte","CS RATONES","2013 Q3",48
"Sul","CS RIBEIRÃO DA ILHA","2013 Q3",26
"Sul","CS RIO TAVARES","2013 Q3",42
"Norte","CS RIO VERMELHO","2013 Q3",136
"Centro","CS SACO DOS LIMÕES","2013 Q3",20
"Norte","CS SACO GRANDE","2013 Q3",307
"Norte","CS SANTINHO","2013 Q3",59
"Norte","CS SANTO ANTONIO LISBOA","2013 Q3",108
"Continente","CS SAPE","2013 Q3",13
"Sul","CS TAPERA","2013 Q3",102
"Centro","CS TRINDADE","2013 Q3",260
"Norte","CS VARGEM GRANDE","2013 Q3",10
"Norte","CS VARGEM PEQUENA","2013 Q3",11
"Continente","CS VILA APARECIDA","2013 Q3",1
"Continente","CS ABRAÃO","2013 Q4",52
"Centro","CS AGRONÔMICA","2013 Q4",171
"Sul","CS ALTO RIBEIRÃO","2013 Q4",5
"Sul","CS ARMAÇÃO","2013 Q4",22
"Continente","CS BALNEÁRIO","2013 Q4",47
"Norte","CS BARRA DA LAGOA","2013 Q4",63
"Norte","CS CACHOEIRA BOM JESUS","2013 Q4",95
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q4",7
"Sul","CS CAMPECHE","2013 Q4",83
"Norte","CS CANASVIEIRAS","2013 Q4",114
"Sul","CS CANTO DA LAGOA","2013 Q4",26
"Continente","CS CAPOEIRAS","2013 Q4",82
"Sul","CS CARIANOS","2013 Q4",103
"Centro","CS CENTRO","2013 Q4",45
"Continente","CS COLONINHA","2013 Q4",152
"Continente","CS COQUEIROS","2013 Q4",141
"Centro","CS CÓRREGO GRANDE","2013 Q4",77
"Sul","CS COSTA DA LAGOA","2013 Q4",22
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q4",66
"Continente","CS ESTREITO","2013 Q4",94
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q4",11
"Norte","CS INGLESES","2013 Q4",111
"Centro","CS ITACORUBI","2013 Q4",178
"Continente","CS JARDIM ATLÂNTICO","2013 Q4",40
"Centro","CS JOÃO PAULO","2013 Q4",40
"Norte","CS JURERE","2013 Q4",93
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q4",51
"Continente","CS MONTE CRISTO","2013 Q4",186
"Centro","CS MONTE SERRAT","2013 Q4",39
"Sul","CS MORRO DAS PEDRAS","2013 Q4",57
"Continente","CS NOVO CONTINENTE","2013 Q4",58
"Centro","CS PANTANAL","2013 Q4",72
"Sul","CS PANTANO DO SUL","2013 Q4",25
"Norte","CS PONTA DAS CANAS","2013 Q4",69
"Centro","CS PRAINHA","2013 Q4",79
"Norte","CS RATONES","2013 Q4",54
"Sul","CS RIBEIRÃO DA ILHA","2013 Q4",32
"Sul","CS RIO TAVARES","2013 Q4",33
"Norte","CS RIO VERMELHO","2013 Q4",141
"Centro","CS SACO DOS LIMÕES","2013 Q4",14
"Norte","CS SACO GRANDE","2013 Q4",213
"Norte","CS SANTINHO","2013 Q4",45
"Norte","CS SANTO ANTONIO LISBOA","2013 Q4",58
"Continente","CS SAPE","2013 Q4",8
"Sul","CS TAPERA","2013 Q4",83
"Centro","CS TRINDADE","2013 Q4",175
"Norte","CS VARGEM GRANDE","2013 Q4",10
"Norte","CS VARGEM PEQUENA","2013 Q4",37
"Continente","CS VILA APARECIDA","2013 Q4",0
"Continente","CS ABRAÃO","2014 Q1",53
"Centro","CS AGRONÔMICA","2014 Q1",204
"Sul","CS ALTO RIBEIRÃO","2014 Q1",12
"Sul","CS ARMAÇÃO","2014 Q1",76
"Continente","CS BALNEÁRIO","2014 Q1",63
"Norte","CS BARRA DA LAGOA","2014 Q1",54
"Norte","CS CACHOEIRA BOM JESUS","2014 Q1",8
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q1",15
"Sul","CS CAMPECHE","2014 Q1",74
"Norte","CS CANASVIEIRAS","2014 Q1",93
"Sul","CS CANTO DA LAGOA","2014 Q1",24
"Continente","CS CAPOEIRAS","2014 Q1",64
"Sul","CS CARIANOS","2014 Q1",109
"Centro","CS CENTRO","2014 Q1",81
"Continente","CS COLONINHA","2014 Q1",132
"Continente","CS COQUEIROS","2014 Q1",108
"Centro","CS CÓRREGO GRANDE","2014 Q1",89
"Sul","CS COSTA DA LAGOA","2014 Q1",16
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q1",91
"Continente","CS ESTREITO","2014 Q1",100
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q1",23
"Norte","CS INGLESES","2014 Q1",138
"Centro","CS ITACORUBI","2014 Q1",153
"Continente","CS JARDIM ATLÂNTICO","2014 Q1",52
"Centro","CS JOÃO PAULO","2014 Q1",51
"Norte","CS JURERE","2014 Q1",68
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q1",128
"Continente","CS MONTE CRISTO","2014 Q1",205
"Centro","CS MONTE SERRAT","2014 Q1",63
"Sul","CS MORRO DAS PEDRAS","2014 Q1",85
"Continente","CS NOVO CONTINENTE","2014 Q1",52
"Centro","CS PANTANAL","2014 Q1",58
"Sul","CS PANTANO DO SUL","2014 Q1",56
"Norte","CS PONTA DAS CANAS","2014 Q1",59
"Centro","CS PRAINHA","2014 Q1",62
"Norte","CS RATONES","2014 Q1",42
"Sul","CS RIBEIRÃO DA ILHA","2014 Q1",32
"Sul","CS RIO TAVARES","2014 Q1",24
"Norte","CS RIO VERMELHO","2014 Q1",147
"Centro","CS SACO DOS LIMÕES","2014 Q1",13
"Norte","CS SACO GRANDE","2014 Q1",312
"Norte","CS SANTINHO","2014 Q1",36
"Norte","CS SANTO ANTONIO LISBOA","2014 Q1",87
"Continente","CS SAPE","2014 Q1",42
"Sul","CS TAPERA","2014 Q1",133
"Centro","CS TRINDADE","2014 Q1",179
"Norte","CS VARGEM GRANDE","2014 Q1",9
"Norte","CS VARGEM PEQUENA","2014 Q1",5
"Continente","CS VILA APARECIDA","2014 Q1",1
"Continente","CS ABRAÃO","2014 Q2",51
"Centro","CS AGRONÔMICA","2014 Q2",237
"Sul","CS ALTO RIBEIRÃO","2014 Q2",9
"Sul","CS ARMAÇÃO","2014 Q2",62
"Continente","CS BALNEÁRIO","2014 Q2",47
"Norte","CS BARRA DA LAGOA","2014 Q2",74
"Norte","CS CACHOEIRA BOM JESUS","2014 Q2",53
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q2",25
"Sul","CS CAMPECHE","2014 Q2",53
"Norte","CS CANASVIEIRAS","2014 Q2",96
