"DISTRITO","UNIDADE","AREA","TRIMESTRE","TIPO","VALOR"
"Continente","CS CAPOEIRAS","60","2016 Q3","PERCENTUAL_TODOS_TRI",83.3333333333333
"Continente","CS COQUEIROS","600","2016 Q3","PERCENTUAL_TODOS_TRI",60
"Continente","CS COQUEIROS","601","2016 Q3","PERCENTUAL_TODOS_TRI",100
"Continente","CS COQUEIROS","602","2016 Q3","PERCENTUAL_TODOS_TRI",0
"Continente","CS CAPOEIRAS","61","2016 Q3","PERCENTUAL_TODOS_TRI",50
"Continente","CS CAPOEIRAS","62","2016 Q3","PERCENTUAL_TODOS_TRI",44.4444444444444
"Centro","CS AGRONÔMICA","690","2016 Q3","PERCENTUAL_TODOS_TRI",50
"Centro","CS AGRONÔMICA","691","2016 Q3","PERCENTUAL_TODOS_TRI",40
"Centro","CS AGRONÔMICA","692","2016 Q3","PERCENTUAL_TODOS_TRI",50
"Centro","CS AGRONÔMICA","693","2016 Q3","PERCENTUAL_TODOS_TRI",66.6666666666667
"Continente","CS COLONINHA","70","2016 Q3","PERCENTUAL_TODOS_TRI",60
"Continente","CS COLONINHA","71","2016 Q3","PERCENTUAL_TODOS_TRI",50
"Continente","CS COLONINHA","72","2016 Q3","PERCENTUAL_TODOS_TRI",50
"Sul","CS FAZENDA DO RIO TAVARES","780","2016 Q3","PERCENTUAL_TODOS_TRI",72.7272727272727
"Sul","CS FAZENDA DO RIO TAVARES","781","2016 Q3","PERCENTUAL_TODOS_TRI",71.4285714285714
"Continente","CS ESTREITO","80","2016 Q3","PERCENTUAL_TODOS_TRI",50
"Continente","CS ESTREITO","82","2016 Q3","PERCENTUAL_TODOS_TRI",100
"Continente","CS ESTREITO","83","2016 Q3","PERCENTUAL_TODOS_TRI",50
"Centro","CS TRINDADE","850","2016 Q3","PERCENTUAL_TODOS_TRI",75
"Centro","CS TRINDADE","851","2016 Q3","PERCENTUAL_TODOS_TRI",38.4615384615385
"Centro","CS TRINDADE","852","2016 Q3","PERCENTUAL_TODOS_TRI",75
"Centro","CS TRINDADE","853","2016 Q3","PERCENTUAL_TODOS_TRI",0
"Centro","CS TRINDADE","854","2016 Q3","PERCENTUAL_TODOS_TRI",85.7142857142857
"Continente","CS VILA APARECIDA","90","2016 Q3","PERCENTUAL_TODOS_TRI",40
"Continente","CS VILA APARECIDA","91","2016 Q3","PERCENTUAL_TODOS_TRI",42.8571428571429
"Centro","CS CENTRO","950","2016 Q3","PERCENTUAL_TODOS_TRI",0
"Centro","CS CENTRO","951","2016 Q3","PERCENTUAL_TODOS_TRI",0
"Centro","CS CENTRO","952","2016 Q3","PERCENTUAL_TODOS_TRI",100
"Norte","CS SANTINHO","980","2016 Q3","PERCENTUAL_TODOS_TRI",52.9411764705882
"Norte","CS SANTINHO","981","2016 Q3","PERCENTUAL_TODOS_TRI",60
"Continente","CS JARDIM ATLÂNTICO","10","2016 Q4","PERCENTUAL_TODOS_TRI",50
"Continente","CS NOVO CONTINENTE","100","2016 Q4","PERCENTUAL_TODOS_TRI",50
"Continente","CS NOVO CONTINENTE","101","2016 Q4","PERCENTUAL_TODOS_TRI",50
"Continente","CS NOVO CONTINENTE","102","2016 Q4","PERCENTUAL_TODOS_TRI",61.5384615384615
"Continente","CS NOVO CONTINENTE","103","2016 Q4","PERCENTUAL_TODOS_TRI",50
"Continente","CS JARDIM ATLÂNTICO","11","2016 Q4","PERCENTUAL_TODOS_TRI",100
"Centro","CS MONTE SERRAT","120","2016 Q4","PERCENTUAL_TODOS_TRI",50
"Centro","CS MONTE SERRAT","121","2016 Q4","PERCENTUAL_TODOS_TRI",50
"Centro","CS MONTE SERRAT","122","2016 Q4","PERCENTUAL_TODOS_TRI",100
"Centro","CS PRAINHA","130","2016 Q4","PERCENTUAL_TODOS_TRI",30
"Centro","CS PRAINHA","131","2016 Q4","PERCENTUAL_TODOS_TRI",66.6666666666667
"Centro","CS PRAINHA","132","2016 Q4","PERCENTUAL_TODOS_TRI",62.5
"Centro","CS PANTANAL","160","2016 Q4","PERCENTUAL_TODOS_TRI",75
"Centro","CS PANTANAL","161","2016 Q4","PERCENTUAL_TODOS_TRI",66.6666666666667
"Centro","CS CÓRREGO GRANDE","170","2016 Q4","PERCENTUAL_TODOS_TRI",100
"Centro","CS CÓRREGO GRANDE","171","2016 Q4","PERCENTUAL_TODOS_TRI",100
"Centro","CS CÓRREGO GRANDE","172","2016 Q4","PERCENTUAL_TODOS_TRI",100
"Centro","CS ITACORUBI","190","2016 Q4","PERCENTUAL_TODOS_TRI",100
"Centro","CS ITACORUBI","191","2016 Q4","PERCENTUAL_TODOS_TRI",28.5714285714286
"Centro","CS ITACORUBI","192","2016 Q4","PERCENTUAL_TODOS_TRI",40
"Centro","CS ITACORUBI","193","2016 Q4","PERCENTUAL_TODOS_TRI",40
"Continente","CS BALNEÁRIO","20","2016 Q4","PERCENTUAL_TODOS_TRI",50
"Sul","CS CAIEIRA BARRA DO SUL","200","2016 Q4","PERCENTUAL_TODOS_TRI",71.4285714285714
"Continente","CS BALNEÁRIO","21","2016 Q4","PERCENTUAL_TODOS_TRI",80
"Sul","CS ALTO RIBEIRÃO","210","2016 Q4","PERCENTUAL_TODOS_TRI",66.6666666666667
"Sul","CS RIBEIRÃO DA ILHA","220","2016 Q4","PERCENTUAL_TODOS_TRI",66.6666666666667
"Sul","CS PANTANO DO SUL","230","2016 Q4","PERCENTUAL_TODOS_TRI",71.4285714285714
"Sul","CS ARMAÇÃO","240","2016 Q4","PERCENTUAL_TODOS_TRI",75
"Sul","CS ARMAÇÃO","241","2016 Q4","PERCENTUAL_TODOS_TRI",75
"Sul","CS ARMAÇÃO","242","2016 Q4","PERCENTUAL_TODOS_TRI",100
"Sul","CS MORRO DAS PEDRAS","250","2016 Q4","PERCENTUAL_TODOS_TRI",40
"Sul","CS MORRO DAS PEDRAS","251","2016 Q4","PERCENTUAL_TODOS_TRI",57.1428571428571
"Sul","CS TAPERA","260","2016 Q4","PERCENTUAL_TODOS_TRI",83.3333333333333
"Sul","CS TAPERA","261","2016 Q4","PERCENTUAL_TODOS_TRI",60
"Sul","CS TAPERA","262","2016 Q4","PERCENTUAL_TODOS_TRI",50
"Sul","CS TAPERA","263","2016 Q4","PERCENTUAL_TODOS_TRI",63.6363636363636
"Sul","CS CARIANOS","271","2016 Q4","PERCENTUAL_TODOS_TRI",70
"Sul","CS CAMPECHE","280","2016 Q4","PERCENTUAL_TODOS_TRI",40
"Sul","CS CAMPECHE","281","2016 Q4","PERCENTUAL_TODOS_TRI",83.3333333333333
"Sul","CS RIO TAVARES","290","2016 Q4","PERCENTUAL_TODOS_TRI",71.4285714285714
"Sul","CS RIO TAVARES","291","2016 Q4","PERCENTUAL_TODOS_TRI",83.3333333333333
"Sul","CS RIO TAVARES","292","2016 Q4","PERCENTUAL_TODOS_TRI",66.6666666666667
"Sul","CS RIO TAVARES","293","2016 Q4","PERCENTUAL_TODOS_TRI",100
"Continente","CS SAPE","30","2016 Q4","PERCENTUAL_TODOS_TRI",14.2857142857143
"Sul","CS COSTEIRA DO PIRAJUBAÉ","300","2016 Q4","PERCENTUAL_TODOS_TRI",75
"Sul","CS COSTEIRA DO PIRAJUBAÉ","301","2016 Q4","PERCENTUAL_TODOS_TRI",66.6666666666667
"Sul","CS COSTEIRA DO PIRAJUBAÉ","302","2016 Q4","PERCENTUAL_TODOS_TRI",76.9230769230769
"Continente","CS SAPE","31","2016 Q4","PERCENTUAL_TODOS_TRI",33.3333333333333
"Centro","CS SACO DOS LIMÕES","310","2016 Q4","PERCENTUAL_TODOS_TRI",33.3333333333333
