"DISTRITO","TRIMESTRE","TIPO","VALOR"
"Continente","2016 Q1","PERCENTUAL_GESTANTES_7_CONS",78.9189189189189
"Norte","2016 Q1","PERCENTUAL_GESTANTES_7_CONS",73.9234449760766
"Sul","2016 Q1","PERCENTUAL_GESTANTES_7_CONS",75.9825327510917
"Centro","2016 Q2","PERCENTUAL_GESTANTES_7_CONS",72.7272727272727
"Continente","2016 Q2","PERCENTUAL_GESTANTES_7_CONS",83
"Norte","2016 Q2","PERCENTUAL_GESTANTES_7_CONS",75.2380952380952
"Sul","2016 Q2","PERCENTUAL_GESTANTES_7_CONS",72.6890756302521
"Centro","2016 Q3","PERCENTUAL_GESTANTES_7_CONS",76.1261261261261
"Continente","2016 Q3","PERCENTUAL_GESTANTES_7_CONS",77.4647887323944
"Norte","2016 Q3","PERCENTUAL_GESTANTES_7_CONS",76.8052516411379
"Sul","2016 Q3","PERCENTUAL_GESTANTES_7_CONS",78.6290322580645
"Centro","2016 Q4","PERCENTUAL_GESTANTES_7_CONS",75.9259259259259
"Continente","2016 Q4","PERCENTUAL_GESTANTES_7_CONS",78.0346820809249
"Norte","2016 Q4","PERCENTUAL_GESTANTES_7_CONS",73.936170212766
"Sul","2016 Q4","PERCENTUAL_GESTANTES_7_CONS",78.4037558685446
"Centro","2017 Q1","PERCENTUAL_GESTANTES_7_CONS",68.9516129032258
"Continente","2017 Q1","PERCENTUAL_GESTANTES_7_CONS",74.3589743589744
"Norte","2017 Q1","PERCENTUAL_GESTANTES_7_CONS",73.6263736263736
"Sul","2017 Q1","PERCENTUAL_GESTANTES_7_CONS",69.7777777777778
"Centro","2017 Q2","PERCENTUAL_GESTANTES_7_CONS",68.1102362204724
"Continente","2017 Q2","PERCENTUAL_GESTANTES_7_CONS",74.2990654205608
"Norte","2017 Q2","PERCENTUAL_GESTANTES_7_CONS",73.5042735042735
"Sul","2017 Q2","PERCENTUAL_GESTANTES_7_CONS",79.7570850202429
"Centro","2017 Q3","PERCENTUAL_GESTANTES_7_CONS",75.8771929824561
"Continente","2017 Q3","PERCENTUAL_GESTANTES_7_CONS",69.7115384615385
"Norte","2017 Q3","PERCENTUAL_GESTANTES_7_CONS",75.5344418052257
"Sul","2017 Q3","PERCENTUAL_GESTANTES_7_CONS",69.9551569506726
"Centro","2017 Q4","PERCENTUAL_GESTANTES_7_CONS",78.3410138248848
"Continente","2017 Q4","PERCENTUAL_GESTANTES_7_CONS",76.0869565217391
"Norte","2017 Q4","PERCENTUAL_GESTANTES_7_CONS",76.6743648960739
"Sul","2017 Q4","PERCENTUAL_GESTANTES_7_CONS",76.2135922330097
"Centro","2018 Q1","PERCENTUAL_GESTANTES_7_CONS",76.1904761904762
"Continente","2018 Q1","PERCENTUAL_GESTANTES_7_CONS",76.1904761904762
"Norte","2018 Q1","PERCENTUAL_GESTANTES_7_CONS",78.7096774193548
"Sul","2018 Q1","PERCENTUAL_GESTANTES_7_CONS",73.2718894009217
"Centro","2013 Q1","PERCENTUAL_TODOS_TRI",47.979797979798
"Continente","2013 Q1","PERCENTUAL_TODOS_TRI",46.2686567164179
"Norte","2013 Q1","PERCENTUAL_TODOS_TRI",57.0652173913043
"Sul","2013 Q1","PERCENTUAL_TODOS_TRI",47.6683937823834
"Centro","2013 Q2","PERCENTUAL_TODOS_TRI",54.6728971962617
"Continente","2013 Q2","PERCENTUAL_TODOS_TRI",51.9337016574586
"Norte","2013 Q2","PERCENTUAL_TODOS_TRI",53.3333333333333
"Sul","2013 Q2","PERCENTUAL_TODOS_TRI",49.0909090909091
"Centro","2013 Q3","PERCENTUAL_TODOS_TRI",47.8260869565217
"Continente","2013 Q3","PERCENTUAL_TODOS_TRI",46.195652173913
"Norte","2013 Q3","PERCENTUAL_TODOS_TRI",51.8518518518518
"Sul","2013 Q3","PERCENTUAL_TODOS_TRI",52.8846153846154
"Centro","2013 Q4","PERCENTUAL_TODOS_TRI",52.3560209424084
"Continente","2013 Q4","PERCENTUAL_TODOS_TRI",40.8839779005525
"Norte","2013 Q4","PERCENTUAL_TODOS_TRI",48.3870967741936
"Sul","2013 Q4","PERCENTUAL_TODOS_TRI",51.7073170731707
"Centro","2014 Q1","PERCENTUAL_TODOS_TRI",53.0516431924883
"Continente","2014 Q1","PERCENTUAL_TODOS_TRI",44.9494949494949
"Norte","2014 Q1","PERCENTUAL_TODOS_TRI",54.9418604651163
"Sul","2014 Q1","PERCENTUAL_TODOS_TRI",58.5253456221198
"Centro","2014 Q2","PERCENTUAL_TODOS_TRI",56.6523605150215
"Continente","2014 Q2","PERCENTUAL_TODOS_TRI",43.8144329896907
"Norte","2014 Q2","PERCENTUAL_TODOS_TRI",53.6
"Sul","2014 Q2","PERCENTUAL_TODOS_TRI",58.7962962962963
"Centro","2014 Q3","PERCENTUAL_TODOS_TRI",53.6458333333333
"Continente","2014 Q3","PERCENTUAL_TODOS_TRI",49.3243243243243
"Norte","2014 Q3","PERCENTUAL_TODOS_TRI",49.3261455525606
"Sul","2014 Q3","PERCENTUAL_TODOS_TRI",62.8318584070796
"Centro","2014 Q4","PERCENTUAL_TODOS_TRI",52.046783625731
"Continente","2014 Q4","PERCENTUAL_TODOS_TRI",48.8505747126437
"Norte","2014 Q4","PERCENTUAL_TODOS_TRI",50.6060606060606
"Sul","2014 Q4","PERCENTUAL_TODOS_TRI",63.6842105263158
