"DISTRITO","UNIDADE","TRIMESTRE","TIPO","VALOR"
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q4","PERCENTUAL_TODOS_TRI",41.1764705882353
"Continente","CS MONTE CRISTO","2013 Q4","PERCENTUAL_TODOS_TRI",31.7460317460317
"Centro","CS MONTE SERRAT","2013 Q4","PERCENTUAL_TODOS_TRI",45.8333333333333
"Sul","CS MORRO DAS PEDRAS","2013 Q4","PERCENTUAL_TODOS_TRI",56.25
"Continente","CS NOVO CONTINENTE","2013 Q4","PERCENTUAL_TODOS_TRI",50
"Centro","CS PANTANAL","2013 Q4","PERCENTUAL_TODOS_TRI",57.1428571428571
"Sul","CS PANTANO DO SUL","2013 Q4","PERCENTUAL_TODOS_TRI",60
"Norte","CS PONTA DAS CANAS","2013 Q4","PERCENTUAL_TODOS_TRI",75
"Centro","CS PRAINHA","2013 Q4","PERCENTUAL_TODOS_TRI",44
"Norte","CS RATONES","2013 Q4","PERCENTUAL_TODOS_TRI",60
"Sul","CS RIBEIRÃO DA ILHA","2013 Q4","PERCENTUAL_TODOS_TRI",87.5
"Sul","CS RIO TAVARES","2013 Q4","PERCENTUAL_TODOS_TRI",50
"Norte","CS RIO VERMELHO","2013 Q4","PERCENTUAL_TODOS_TRI",53.8461538461538
"Centro","CS SACO DOS LIMÕES","2013 Q4","PERCENTUAL_TODOS_TRI",45.8333333333333
"Norte","CS SACO GRANDE","2013 Q4","PERCENTUAL_TODOS_TRI",31.8181818181818
"Norte","CS SANTINHO","2013 Q4","PERCENTUAL_TODOS_TRI",55
"Norte","CS SANTO ANTONIO LISBOA","2013 Q4","PERCENTUAL_TODOS_TRI",57.1428571428571
"Continente","CS SAPE","2013 Q4","PERCENTUAL_TODOS_TRI",41.1764705882353
"Sul","CS TAPERA","2013 Q4","PERCENTUAL_TODOS_TRI",57.1428571428571
"Centro","CS TRINDADE","2013 Q4","PERCENTUAL_TODOS_TRI",48.2758620689655
"Norte","CS VARGEM GRANDE","2013 Q4","PERCENTUAL_TODOS_TRI",33.3333333333333
"Norte","CS VARGEM PEQUENA","2013 Q4","PERCENTUAL_TODOS_TRI",100
"Continente","CS VILA APARECIDA","2013 Q4","PERCENTUAL_TODOS_TRI",50
"Continente","CS ABRAÃO","2014 Q1","PERCENTUAL_TODOS_TRI",52.6315789473684
"Centro","CS AGRONÔMICA","2014 Q1","PERCENTUAL_TODOS_TRI",44.1860465116279
"Sul","CS ALTO RIBEIRÃO","2014 Q1","PERCENTUAL_TODOS_TRI",38.8888888888889
"Sul","CS ARMAÇÃO","2014 Q1","PERCENTUAL_TODOS_TRI",50
"Continente","CS BALNEÁRIO","2014 Q1","PERCENTUAL_TODOS_TRI",0
"Norte","CS BARRA DA LAGOA","2014 Q1","PERCENTUAL_TODOS_TRI",58.8235294117647
"Norte","CS CACHOEIRA BOM JESUS","2014 Q1","PERCENTUAL_TODOS_TRI",40
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q1","PERCENTUAL_TODOS_TRI",71.4285714285714
"Sul","CS CAMPECHE","2014 Q1","PERCENTUAL_TODOS_TRI",66.6666666666667
"Norte","CS CANASVIEIRAS","2014 Q1","PERCENTUAL_TODOS_TRI",63.1578947368421
"Sul","CS CANTO DA LAGOA","2014 Q1","PERCENTUAL_TODOS_TRI",57.1428571428571
"Continente","CS CAPOEIRAS","2014 Q1","PERCENTUAL_TODOS_TRI",60
"Sul","CS CARIANOS","2014 Q1","PERCENTUAL_TODOS_TRI",20
"Centro","CS CENTRO","2014 Q1","PERCENTUAL_TODOS_TRI",40
"Continente","CS COLONINHA","2014 Q1","PERCENTUAL_TODOS_TRI",36.3636363636364
"Continente","CS COQUEIROS","2014 Q1","PERCENTUAL_TODOS_TRI",53.8461538461538
"Centro","CS CÓRREGO GRANDE","2014 Q1","PERCENTUAL_TODOS_TRI",85.7142857142857
"Sul","CS COSTA DA LAGOA","2014 Q1","PERCENTUAL_TODOS_TRI",100
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q1","PERCENTUAL_TODOS_TRI",62.8571428571429
"Continente","CS ESTREITO","2014 Q1","PERCENTUAL_TODOS_TRI",33.3333333333333
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q1","PERCENTUAL_TODOS_TRI",56.25
"Norte","CS INGLESES","2014 Q1","PERCENTUAL_TODOS_TRI",56.8181818181818
"Centro","CS ITACORUBI","2014 Q1","PERCENTUAL_TODOS_TRI",62.962962962963
"Continente","CS JARDIM ATLÂNTICO","2014 Q1","PERCENTUAL_TODOS_TRI",16.6666666666667
"Centro","CS JOÃO PAULO","2014 Q1","PERCENTUAL_TODOS_TRI",75
"Norte","CS JURERE","2014 Q1","PERCENTUAL_TODOS_TRI",50
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q1","PERCENTUAL_TODOS_TRI",36.3636363636364
"Continente","CS MONTE CRISTO","2014 Q1","PERCENTUAL_TODOS_TRI",43.6619718309859
"Centro","CS MONTE SERRAT","2014 Q1","PERCENTUAL_TODOS_TRI",50
"Sul","CS MORRO DAS PEDRAS","2014 Q1","PERCENTUAL_TODOS_TRI",71.4285714285714
"Continente","CS NOVO CONTINENTE","2014 Q1","PERCENTUAL_TODOS_TRI",52.6315789473684
"Centro","CS PANTANAL","2014 Q1","PERCENTUAL_TODOS_TRI",53.8461538461538
"Sul","CS PANTANO DO SUL","2014 Q1","PERCENTUAL_TODOS_TRI",85.7142857142857
"Norte","CS PONTA DAS CANAS","2014 Q1","PERCENTUAL_TODOS_TRI",54.5454545454545
"Centro","CS PRAINHA","2014 Q1","PERCENTUAL_TODOS_TRI",65
"Norte","CS RATONES","2014 Q1","PERCENTUAL_TODOS_TRI",60
"Sul","CS RIBEIRÃO DA ILHA","2014 Q1","PERCENTUAL_TODOS_TRI",0
"Sul","CS RIO TAVARES","2014 Q1","PERCENTUAL_TODOS_TRI",66.6666666666667
"Norte","CS RIO VERMELHO","2014 Q1","PERCENTUAL_TODOS_TRI",53.8461538461538
"Centro","CS SACO DOS LIMÕES","2014 Q1","PERCENTUAL_TODOS_TRI",41.9354838709677
"Norte","CS SACO GRANDE","2014 Q1","PERCENTUAL_TODOS_TRI",50
"Norte","CS SANTINHO","2014 Q1","PERCENTUAL_TODOS_TRI",57.8947368421053
"Norte","CS SANTO ANTONIO LISBOA","2014 Q1","PERCENTUAL_TODOS_TRI",70
"Continente","CS SAPE","2014 Q1","PERCENTUAL_TODOS_TRI",43.75
"Sul","CS TAPERA","2014 Q1","PERCENTUAL_TODOS_TRI",65.7894736842105
"Centro","CS TRINDADE","2014 Q1","PERCENTUAL_TODOS_TRI",53.125
"Norte","CS VARGEM GRANDE","2014 Q1","PERCENTUAL_TODOS_TRI",50
"Norte","CS VARGEM PEQUENA","2014 Q1","PERCENTUAL_TODOS_TRI",33.3333333333333
"Continente","CS VILA APARECIDA","2014 Q1","PERCENTUAL_TODOS_TRI",55.5555555555556
"Continente","CS ABRAÃO","2014 Q2","PERCENTUAL_TODOS_TRI",37.5
"Centro","CS AGRONÔMICA","2014 Q2","PERCENTUAL_TODOS_TRI",45.4545454545455
"Sul","CS ALTO RIBEIRÃO","2014 Q2","PERCENTUAL_TODOS_TRI",46.6666666666667
"Sul","CS ARMAÇÃO","2014 Q2","PERCENTUAL_TODOS_TRI",64.7058823529412
"Continente","CS BALNEÁRIO","2014 Q2","PERCENTUAL_TODOS_TRI",0
"Norte","CS BARRA DA LAGOA","2014 Q2","PERCENTUAL_TODOS_TRI",50
"Norte","CS CACHOEIRA BOM JESUS","2014 Q2","PERCENTUAL_TODOS_TRI",58.0645161290323
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q2","PERCENTUAL_TODOS_TRI",100
