"DISTRITO","TRIMESTRE","TIPO","VALOR"
"Sul","2016 Q3","TRATADOS",21
"Centro","2016 Q4","TRATADOS",34
"Continente","2016 Q4","TRATADOS",27
"Norte","2016 Q4","TRATADOS",43
"Sul","2016 Q4","TRATADOS",12
"Centro","2017 Q1","TRATADOS",24
"Continente","2017 Q1","TRATADOS",15
"Norte","2017 Q1","TRATADOS",32
"Sul","2017 Q1","TRATADOS",11
"Centro","2017 Q2","TRATADOS",78
"Continente","2017 Q2","TRATADOS",46
"Norte","2017 Q2","TRATADOS",81
"Sul","2017 Q2","TRATADOS",28
"Centro","2017 Q3","TRATADOS",71
"Continente","2017 Q3","TRATADOS",48
"Norte","2017 Q3","TRATADOS",65
"Sul","2017 Q3","TRATADOS",34
"Centro","2017 Q4","TRATADOS",71
"Continente","2017 Q4","TRATADOS",38
"Norte","2017 Q4","TRATADOS",58
"Sul","2017 Q4","TRATADOS",26
"Centro","2018 Q1","TRATADOS",66
"Continente","2018 Q1","TRATADOS",49
"Norte","2018 Q1","TRATADOS",57
"Sul","2018 Q1","TRATADOS",29
"Centro","2013 Q1","PERC_TRATAMENTO",6.25
"Continente","2013 Q1","PERC_TRATAMENTO",0
"Norte","2013 Q1","PERC_TRATAMENTO",0
"Sul","2013 Q1","PERC_TRATAMENTO",16.6666666666667
"Centro","2013 Q2","PERC_TRATAMENTO",4.16666666666667
"Continente","2013 Q2","PERC_TRATAMENTO",0
"Norte","2013 Q2","PERC_TRATAMENTO",0
"Sul","2013 Q2","PERC_TRATAMENTO",0
"Centro","2013 Q3","PERC_TRATAMENTO",17.3913043478261
"Continente","2013 Q3","PERC_TRATAMENTO",12.5
"Norte","2013 Q3","PERC_TRATAMENTO",0
"Sul","2013 Q3","PERC_TRATAMENTO",7.14285714285714
"Centro","2013 Q4","PERC_TRATAMENTO",19.047619047619
"Continente","2013 Q4","PERC_TRATAMENTO",7.14285714285714
"Norte","2013 Q4","PERC_TRATAMENTO",21.4285714285714
"Sul","2013 Q4","PERC_TRATAMENTO",0
"Centro","2014 Q1","PERC_TRATAMENTO",5.26315789473684
"Continente","2014 Q1","PERC_TRATAMENTO",14.2857142857143
"Norte","2014 Q1","PERC_TRATAMENTO",0
"Sul","2014 Q1","PERC_TRATAMENTO",16.6666666666667
"Centro","2014 Q2","PERC_TRATAMENTO",7.69230769230769
"Continente","2014 Q2","PERC_TRATAMENTO",28.5714285714286
"Norte","2014 Q2","PERC_TRATAMENTO",14.2857142857143
"Sul","2014 Q2","PERC_TRATAMENTO",0
"Centro","2014 Q3","PERC_TRATAMENTO",0
"Continente","2014 Q3","PERC_TRATAMENTO",9.09090909090909
"Norte","2014 Q3","PERC_TRATAMENTO",11.7647058823529
"Sul","2014 Q3","PERC_TRATAMENTO",0
"Centro","2014 Q4","PERC_TRATAMENTO",7.69230769230769
"Continente","2014 Q4","PERC_TRATAMENTO",11.4285714285714
"Norte","2014 Q4","PERC_TRATAMENTO",12
"Sul","2014 Q4","PERC_TRATAMENTO",0
"Centro","2015 Q1","PERC_TRATAMENTO",17.3913043478261
"Continente","2015 Q1","PERC_TRATAMENTO",8.10810810810811
"Norte","2015 Q1","PERC_TRATAMENTO",3.03030303030303
"Sul","2015 Q1","PERC_TRATAMENTO",3.84615384615385
"Centro","2015 Q2","PERC_TRATAMENTO",5.88235294117647
"Continente","2015 Q2","PERC_TRATAMENTO",0
"Norte","2015 Q2","PERC_TRATAMENTO",6.81818181818182
"Sul","2015 Q2","PERC_TRATAMENTO",4.54545454545455
"Centro","2015 Q3","PERC_TRATAMENTO",14.2857142857143
