"DISTRITO","UNIDADE","TRIMESTRE","TIPO","VALOR"
"Continente","CS COLONINHA","2016 Q3","PERCENTUAL_GEST_ODONTO",22.2222222222222
"Continente","CS COQUEIROS","2016 Q3","PERCENTUAL_GEST_ODONTO",20
"Centro","CS CÓRREGO GRANDE","2016 Q3","PERCENTUAL_GEST_ODONTO",28.5714285714286
"Sul","CS COSTA DA LAGOA","2016 Q3","PERCENTUAL_GEST_ODONTO",100
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2016 Q3","PERCENTUAL_GEST_ODONTO",36
"Continente","CS ESTREITO","2016 Q3","PERCENTUAL_GEST_ODONTO",63.6363636363636
"Sul","CS FAZENDA DO RIO TAVARES","2016 Q3","PERCENTUAL_GEST_ODONTO",12
"Norte","CS INGLESES","2016 Q3","PERCENTUAL_GEST_ODONTO",23.8095238095238
"Centro","CS ITACORUBI","2016 Q3","PERCENTUAL_GEST_ODONTO",36.6666666666667
"Continente","CS JARDIM ATLÂNTICO","2016 Q3","PERCENTUAL_GEST_ODONTO",50
"Centro","CS JOÃO PAULO","2016 Q3","PERCENTUAL_GEST_ODONTO",60
"Norte","CS JURERE","2016 Q3","PERCENTUAL_GEST_ODONTO",14.2857142857143
"Sul","CS LAGOA DA CONCEIÇÃO","2016 Q3","PERCENTUAL_GEST_ODONTO",10
"Continente","CS MONTE CRISTO","2016 Q3","PERCENTUAL_GEST_ODONTO",25.7575757575758
"Centro","CS MONTE SERRAT","2016 Q3","PERCENTUAL_GEST_ODONTO",22.7272727272727
"Sul","CS MORRO DAS PEDRAS","2016 Q3","PERCENTUAL_GEST_ODONTO",13.6363636363636
"Continente","CS NOVO CONTINENTE","2016 Q3","PERCENTUAL_GEST_ODONTO",25
"Centro","CS PANTANAL","2016 Q3","PERCENTUAL_GEST_ODONTO",41.6666666666667
"Sul","CS PANTANO DO SUL","2016 Q3","PERCENTUAL_GEST_ODONTO",55.5555555555556
"Norte","CS PONTA DAS CANAS","2016 Q3","PERCENTUAL_GEST_ODONTO",18.1818181818182
"Centro","CS PRAINHA","2016 Q3","PERCENTUAL_GEST_ODONTO",24.1379310344828
"Norte","CS RATONES","2016 Q3","PERCENTUAL_GEST_ODONTO",11.1111111111111
"Sul","CS RIBEIRÃO DA ILHA","2016 Q3","PERCENTUAL_GEST_ODONTO",100
"Sul","CS RIO TAVARES","2016 Q3","PERCENTUAL_GEST_ODONTO",18.5185185185185
"Norte","CS RIO VERMELHO","2016 Q3","PERCENTUAL_GEST_ODONTO",22.4719101123595
"Centro","CS SACO DOS LIMÕES","2016 Q3","PERCENTUAL_GEST_ODONTO",8.33333333333333
"Norte","CS SACO GRANDE","2016 Q3","PERCENTUAL_GEST_ODONTO",26.6666666666667
"Norte","CS SANTINHO","2016 Q3","PERCENTUAL_GEST_ODONTO",29.6296296296296
"Norte","CS SANTO ANTONIO LISBOA","2016 Q3","PERCENTUAL_GEST_ODONTO",38.8888888888889
"Continente","CS SAPE","2016 Q3","PERCENTUAL_GEST_ODONTO",38.0952380952381
"Sul","CS TAPERA","2016 Q3","PERCENTUAL_GEST_ODONTO",27.027027027027
"Centro","CS TRINDADE","2016 Q3","PERCENTUAL_GEST_ODONTO",27.2727272727273
"Norte","CS VARGEM GRANDE","2016 Q3","PERCENTUAL_GEST_ODONTO",44.4444444444444
"Norte","CS VARGEM PEQUENA","2016 Q3","PERCENTUAL_GEST_ODONTO",0
"Continente","CS VILA APARECIDA","2016 Q3","PERCENTUAL_GEST_ODONTO",23.5294117647059
"Continente","CS ABRAÃO","2016 Q4","PERCENTUAL_GEST_ODONTO",22.2222222222222
"Centro","CS AGRONÔMICA","2016 Q4","PERCENTUAL_GEST_ODONTO",22.2222222222222
"Sul","CS ALTO RIBEIRÃO","2016 Q4","PERCENTUAL_GEST_ODONTO",6.66666666666667
"Sul","CS ARMAÇÃO","2016 Q4","PERCENTUAL_GEST_ODONTO",46.1538461538462
"Continente","CS BALNEÁRIO","2016 Q4","PERCENTUAL_GEST_ODONTO",55.5555555555556
