"DISTRITO","TRIMESTRE","TIPO","VALOR"
"Continente","2013 Q4","GEST_ODONTO",60
"Norte","2013 Q4","GEST_ODONTO",68
"Sul","2013 Q4","GEST_ODONTO",34
"Centro","2014 Q1","GEST_ODONTO",55
"Continente","2014 Q1","GEST_ODONTO",54
"Norte","2014 Q1","GEST_ODONTO",84
"Sul","2014 Q1","GEST_ODONTO",39
"Centro","2014 Q2","GEST_ODONTO",47
"Continente","2014 Q2","GEST_ODONTO",42
"Norte","2014 Q2","GEST_ODONTO",78
"Sul","2014 Q2","GEST_ODONTO",57
"Centro","2014 Q3","GEST_ODONTO",35
"Continente","2014 Q3","GEST_ODONTO",49
"Norte","2014 Q3","GEST_ODONTO",83
"Sul","2014 Q3","GEST_ODONTO",46
"Centro","2014 Q4","GEST_ODONTO",38
"Continente","2014 Q4","GEST_ODONTO",52
"Norte","2014 Q4","GEST_ODONTO",76
"Sul","2014 Q4","GEST_ODONTO",39
"Centro","2015 Q1","GEST_ODONTO",37
"Continente","2015 Q1","GEST_ODONTO",54
"Norte","2015 Q1","GEST_ODONTO",110
"Sul","2015 Q1","GEST_ODONTO",45
"Centro","2015 Q2","GEST_ODONTO",43
"Continente","2015 Q2","GEST_ODONTO",57
"Norte","2015 Q2","GEST_ODONTO",81
"Sul","2015 Q2","GEST_ODONTO",45
"Centro","2015 Q3","GEST_ODONTO",47
"Continente","2015 Q3","GEST_ODONTO",53
"Norte","2015 Q3","GEST_ODONTO",85
"Sul","2015 Q3","GEST_ODONTO",36
"Centro","2015 Q4","GEST_ODONTO",31
"Continente","2015 Q4","GEST_ODONTO",63
"Norte","2015 Q4","GEST_ODONTO",97
"Sul","2015 Q4","GEST_ODONTO",33
"Centro","2016 Q1","GEST_ODONTO",56
"Continente","2016 Q1","GEST_ODONTO",62
"Norte","2016 Q1","GEST_ODONTO",88
"Sul","2016 Q1","GEST_ODONTO",62
"Centro","2016 Q2","GEST_ODONTO",61
"Continente","2016 Q2","GEST_ODONTO",70
"Norte","2016 Q2","GEST_ODONTO",104
"Sul","2016 Q2","GEST_ODONTO",55
"Centro","2016 Q3","GEST_ODONTO",63
"Continente","2016 Q3","GEST_ODONTO",66
"Norte","2016 Q3","GEST_ODONTO",105
"Sul","2016 Q3","GEST_ODONTO",64
"Centro","2016 Q4","GEST_ODONTO",48
"Continente","2016 Q4","GEST_ODONTO",53
"Norte","2016 Q4","GEST_ODONTO",102
"Sul","2016 Q4","GEST_ODONTO",72
"Centro","2017 Q1","GEST_ODONTO",64
"Continente","2017 Q1","GEST_ODONTO",60
"Norte","2017 Q1","GEST_ODONTO",122
"Sul","2017 Q1","GEST_ODONTO",50
"Centro","2017 Q2","GEST_ODONTO",57
"Continente","2017 Q2","GEST_ODONTO",59
"Norte","2017 Q2","GEST_ODONTO",130
"Sul","2017 Q2","GEST_ODONTO",69
"Centro","2017 Q3","GEST_ODONTO",54
"Continente","2017 Q3","GEST_ODONTO",64
"Norte","2017 Q3","GEST_ODONTO",125
"Sul","2017 Q3","GEST_ODONTO",64
"Centro","2017 Q4","GEST_ODONTO",61
"Continente","2017 Q4","GEST_ODONTO",48
"Norte","2017 Q4","GEST_ODONTO",153
"Sul","2017 Q4","GEST_ODONTO",57
"Centro","2018 Q1","GEST_ODONTO",65
"Continente","2018 Q1","GEST_ODONTO",81
"Norte","2018 Q1","GEST_ODONTO",145
"Sul","2018 Q1","GEST_ODONTO",62
"Centro","2013 Q1","PERCENTUAL_GEST_ODONTO",26.2626262626263
"Continente","2013 Q1","PERCENTUAL_GEST_ODONTO",31.3432835820896
"Norte","2013 Q1","PERCENTUAL_GEST_ODONTO",21.4673913043478
"Sul","2013 Q1","PERCENTUAL_GEST_ODONTO",21.7616580310881
