"DISTRITO","UNIDADE","AREA","TRIMESTRE","VALOR"
"Sul","CS PANTANO DO SUL",230,"2015 Q4",36.7704280155642
"Sul","CS ARMAÇÃO",240,"2015 Q4",25.6959314775161
"Sul","CS ARMAÇÃO",241,"2015 Q4",31.875
"Sul","CS ARMAÇÃO",242,"2015 Q4",43.5483870967742
"Sul","CS MORRO DAS PEDRAS",250,"2015 Q4",28.9256198347107
"Sul","CS MORRO DAS PEDRAS",251,"2015 Q4",38.8157894736842
"Sul","CS TAPERA",260,"2015 Q4",22.5296442687747
"Sul","CS TAPERA",261,"2015 Q4",27.5409836065574
"Sul","CS TAPERA",262,"2015 Q4",38.3233532934132
"Sul","CS TAPERA",263,"2015 Q4",27.0731707317073
"Sul","CS CARIANOS",270,"2015 Q4",31.9148936170213
"Sul","CS CARIANOS",271,"2015 Q4",23.972602739726
"Sul","CS CARIANOS",272,"2015 Q4",51.7241379310345
"Sul","CS CAMPECHE",280,"2015 Q4",35.625
"Sul","CS CAMPECHE",281,"2015 Q4",39.0243902439024
"Sul","CS RIO TAVARES",290,"2015 Q4",21.4669051878354
"Sul","CS RIO TAVARES",291,"2015 Q4",29.5454545454545
"Sul","CS RIO TAVARES",292,"2015 Q4",23.8636363636364
"Sul","CS RIO TAVARES",293,"2015 Q4",28.7671232876712
"Continente","CS SAPE",30,"2015 Q4",49.4011976047904
"Sul","CS COSTEIRA DO PIRAJUBAÉ",300,"2015 Q4",27.7533039647577
"Sul","CS COSTEIRA DO PIRAJUBAÉ",301,"2015 Q4",16.9411764705882
"Sul","CS COSTEIRA DO PIRAJUBAÉ",302,"2015 Q4",19.4300518134715
"Continente","CS SAPE",31,"2015 Q4",40.8637873754153
"Centro","CS SACO DOS LIMÕES",310,"2015 Q4",37.3493975903614
"Centro","CS SACO DOS LIMÕES",311,"2015 Q4",26.2237762237762
"Centro","CS SACO DOS LIMÕES",312,"2015 Q4",26.448362720403
