"DISTRITO","UNIDADE","TRIMESTRE","VALOR"
"Norte","CS VARGEM GRANDE","2014 Q2",41.1764705882353
"Norte","CS VARGEM PEQUENA","2014 Q2",18.3453237410072
"Continente","CS VILA APARECIDA","2014 Q2",23.8095238095238
"Continente","CS ABRAÃO","2014 Q3",26.6949152542373
"Centro","CS AGRONÔMICA","2014 Q3",25.7196495619524
"Sul","CS ALTO RIBEIRÃO","2014 Q3",23.2620320855615
"Sul","CS ARMAÇÃO","2014 Q3",21.7036172695449
"Continente","CS BALNEÁRIO","2014 Q3",16.7953667953668
"Norte","CS BARRA DA LAGOA","2014 Q3",24.3401759530792
"Norte","CS CACHOEIRA BOM JESUS","2014 Q3",30.4306220095694
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q3",24.6951219512195
"Sul","CS CAMPECHE","2014 Q3",30.5986696230599
"Norte","CS CANASVIEIRAS","2014 Q3",29.0652385589094
"Sul","CS CANTO DA LAGOA","2014 Q3",40.5172413793103
"Continente","CS CAPOEIRAS","2014 Q3",18.4100418410042
"Sul","CS CARIANOS","2014 Q3",17.3699705593719
"Centro","CS CENTRO","2014 Q3",23.6702127659574
"Continente","CS COLONINHA","2014 Q3",29.5991778006166
"Continente","CS COQUEIROS","2014 Q3",28.9840637450199
"Centro","CS CÓRREGO GRANDE","2014 Q3",7.15421303656598
"Sul","CS COSTA DA LAGOA","2014 Q3",24.2914979757085
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q3",15.645371577575
"Continente","CS ESTREITO","2014 Q3",34.5158197507191
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q3",22.6586102719033
"Norte","CS INGLESES","2014 Q3",27.5105485232068
"Centro","CS ITACORUBI","2014 Q3",26.0869565217391
"Continente","CS JARDIM ATLÂNTICO","2014 Q3",31.1778290993072
"Centro","CS JOÃO PAULO","2014 Q3",16.557161629435
"Norte","CS JURERE","2014 Q3",51.3698630136986
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q3",34.7464042392127
"Continente","CS MONTE CRISTO","2014 Q3",15.2758132956153
"Centro","CS MONTE SERRAT","2014 Q3",12.8787878787879
