"DISTRITO","TRIMESTRE","PROCEDIMENTO","VALOR"
"Continente","2015 Q1","TESTE RÁPIDO PARA SÍFILIS",26
"Norte","2015 Q1","TESTE RÁPIDO PARA SÍFILIS",15
"Sul","2015 Q1","TESTE RÁPIDO PARA SÍFILIS",16
"Centro","2015 Q2","TESTE RÁPIDO PARA SÍFILIS",13
"Continente","2015 Q2","TESTE RÁPIDO PARA SÍFILIS",9
"Norte","2015 Q2","TESTE RÁPIDO PARA SÍFILIS",18
"Sul","2015 Q2","TESTE RÁPIDO PARA SÍFILIS",18
"Centro","2015 Q3","TESTE RÁPIDO PARA SÍFILIS",7
"Continente","2015 Q3","TESTE RÁPIDO PARA SÍFILIS",20
"Norte","2015 Q3","TESTE RÁPIDO PARA SÍFILIS",24
"Sul","2015 Q3","TESTE RÁPIDO PARA SÍFILIS",69
"Centro","2015 Q4","TESTE RÁPIDO PARA SÍFILIS",36
"Continente","2015 Q4","TESTE RÁPIDO PARA SÍFILIS",23
"Norte","2015 Q4","TESTE RÁPIDO PARA SÍFILIS",64
"Sul","2015 Q4","TESTE RÁPIDO PARA SÍFILIS",90
"Centro","2016 Q1","TESTE RÁPIDO PARA SÍFILIS",36
"Continente","2016 Q1","TESTE RÁPIDO PARA SÍFILIS",15
"Norte","2016 Q1","TESTE RÁPIDO PARA SÍFILIS",52
"Sul","2016 Q1","TESTE RÁPIDO PARA SÍFILIS",79
"Centro","2016 Q2","TESTE RÁPIDO PARA SÍFILIS",37
"Continente","2016 Q2","TESTE RÁPIDO PARA SÍFILIS",51
"Norte","2016 Q2","TESTE RÁPIDO PARA SÍFILIS",98
"Sul","2016 Q2","TESTE RÁPIDO PARA SÍFILIS",83
"Centro","2016 Q3","TESTE RÁPIDO PARA SÍFILIS",40
"Continente","2016 Q3","TESTE RÁPIDO PARA SÍFILIS",101
"Norte","2016 Q3","TESTE RÁPIDO PARA SÍFILIS",142
"Sul","2016 Q3","TESTE RÁPIDO PARA SÍFILIS",114
"Centro","2016 Q4","TESTE RÁPIDO PARA SÍFILIS",51
"Continente","2016 Q4","TESTE RÁPIDO PARA SÍFILIS",80
"Norte","2016 Q4","TESTE RÁPIDO PARA SÍFILIS",153
"Sul","2016 Q4","TESTE RÁPIDO PARA SÍFILIS",103
"Centro","2017 Q1","TESTE RÁPIDO PARA SÍFILIS",49
"Continente","2017 Q1","TESTE RÁPIDO PARA SÍFILIS",51
"Norte","2017 Q1","TESTE RÁPIDO PARA SÍFILIS",101
"Sul","2017 Q1","TESTE RÁPIDO PARA SÍFILIS",84
"Centro","2017 Q2","TESTE RÁPIDO PARA SÍFILIS",67
"Continente","2017 Q2","TESTE RÁPIDO PARA SÍFILIS",79
"Norte","2017 Q2","TESTE RÁPIDO PARA SÍFILIS",132
